timestamp_utc,session_id,source_id,clue,answer_raw,answer_norm,answer_len,clue_len,filled_indices,filled_pairs,shown_pattern,user_guess_raw,user_guess_norm,user_correct,revealed,num_remaining_correct
2025-11-05T22:56:51Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,9/8/2021_ERIC,"""Spamalot"" writer Idle",ERIC,ERIC,4,22,"[1, 3]","[[1, ""R""], [3, ""C""]]",_R_C,eric,ERIC,1,0,2
2025-11-05T22:56:56Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,4/27/2021_SUGARDADDY,"Wealthy boyfriend, perhaps",SUGARDADDY,SUGARDADDY,10,26,"[1, 5, 6, 8]","[[1, ""U""], [5, ""D""], [6, ""A""], [8, ""D""]]",_U___DA_D_,sugardaddy,SUGARDADDY,1,0,6
2025-11-05T22:57:27Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,5/30/2019_TAX,Duty,TAX,TAX,3,4,[1],"[[1, ""A""]]",_A_,,,0,0,0
2025-11-05T22:57:38Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,3/22/2016_ETO,D.D.E.'s charge in W.W. II,ETO,ETO,3,26,"[0, 2]","[[0, ""E""], [2, ""O""]]",E_O,evo,EVO,0,0,0
2025-11-05T22:57:48Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,6/16/2019_NOMEN,"The ""Tullius"" of Marcus Tullius Cicero",NOMEN,NOMEN,5,38,[0],"[[0, ""N""]]",N____,,,0,0,0
2025-11-05T22:58:01Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,2/3/2018_HALLPASS,Toilet paper?,HALLPASS,HALLPASS,8,13,[],[],________,,,0,0,0
2025-11-05T22:58:05Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,3/20/2019_DONHO,"""Tiny Bubbles"" crooner",DONHO,DONHO,5,22,[],[],_____,,,0,0,0
2025-11-05T22:58:09Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,5/21/2018_JEAN,Levi's material,JEAN,JEAN,4,15,"[1, 2]","[[1, ""E""], [2, ""A""]]",_EA_,jean,JEAN,1,0,2
2025-11-05T22:58:13Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,10/4/2018_ACLU,Org. defending 1-Across rights,ACLU,ACLU,4,30,[2],"[[2, ""L""]]",__L_,aclu,ACLU,1,0,3
2025-11-05T22:58:55Z,4ad3a72a-4a0e-4982-9228-1b8afb04e81f,12/14/2019_HITAT,Try to punch,HITAT,HITAT,5,12,[4],"[[4, ""T""]]",____T,quit,QUIT,0,0,0
2025-11-05T23:00:08Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,3/21/2021_NBA,Hoops grp.,NBA,NBA,3,10,[1],"[[1, ""B""]]",_B_,nba,NBA,1,0,2
2025-11-05T23:00:10Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/9/2020_EMU,Bird able to run faster than the fastest human,EMU,EMU,3,46,[1],"[[1, ""M""]]",_M_,emu,EMU,1,0,2
2025-11-05T23:00:12Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,6/6/2019_RIO,Feature on a Spanish map,RIO,RIO,3,24,[1],"[[1, ""I""]]",_I_,rio,RIO,1,0,2
2025-11-05T23:00:14Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,12/20/2018_SANS,Comic ___ (typeface),SANS,SANS,4,20,"[0, 1, 2]","[[0, ""S""], [1, ""A""], [2, ""N""]]",SAN_,sans,SANS,1,0,1
2025-11-05T23:00:21Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,5/8/2021_WHO,It becomes another question when its first letter is moved to the end,WHO,WHO,3,69,[1],"[[1, ""H""]]",_H_,who,WHO,1,0,2
2025-11-05T23:00:25Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/13/2019_TIRADE,"Tweetstorm, e.g.",TIRADE,TIRADE,6,16,[],[],______,tirade,TIRADE,1,0,6
2025-11-05T23:00:27Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/17/2018_TUNE,"Adjust, as a piano",TUNE,TUNE,4,18,[],[],____,tune,TUNE,1,0,4
2025-11-05T23:00:31Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,9/27/2021_INES,Mexican poet Juana ___ de la Cruz,INES,INES,4,33,"[1, 2]","[[1, ""N""], [2, ""E""]]",_NE_,inez,INEZ,0,0,1
2025-11-05T23:00:45Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,5/3/2019_ETTORE,"Automaker Bugatti who reportedly said ""I make my cars to go, not to stop""",ETTORE,ETTORE,6,73,"[1, 2, 3, 4, 5]","[[1, ""T""], [2, ""T""], [3, ""O""], [4, ""R""], [5, ""E""]]",_TTORE,attore,ATTORE,0,0,0
2025-11-05T23:00:47Z,43a7b6ae-85e7-4ac2-a301-302ca2556d9e,2/18/2020_STAN,Lee of Marvel Comics,STAN,STAN,4,20,"[1, 2, 3]","[[1, ""T""], [2, ""A""], [3, ""N""]]",_TAN,stan,STAN,1,0,1
2025-11-05T23:03:24Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,2/1/2021_WIZ,Rapper ___ Khalifa,WIZ,WIZ,3,18,"[0, 1]","[[0, ""W""], [1, ""I""]]",WI_,wiz,WIZ,1,0,0,1
2025-11-05T23:03:28Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,11/8/2020_MORAL,Kind of high ground,MORAL,MORAL,5,19,"[0, 1, 4]","[[0, ""M""], [1, ""O""], [4, ""L""]]",MO__L,moral,MORAL,1,0,0,2
2025-11-05T23:03:30Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/7/2017_AMOS,Old Testament prophet,AMOS,AMOS,4,21,[],[],____,esau,ESAU,0,0,0,0
2025-11-05T23:03:37Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/5/2021_SETTLING,Alternative to going to court,SETTLING,SETTLING,8,29,"[5, 6, 7]","[[5, ""I""], [6, ""N""], [7, ""G""]]",_____ING,,,0,0,0,0
2025-11-05T23:03:43Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/28/2020_RAW,Like most vegetables at a salad bar,RAW,RAW,3,35,[1],"[[1, ""A""]]",_A_,raw,RAW,1,0,0,2
2025-11-05T23:03:45Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,3/23/2016_HOWSO,"""Care to explain?""",HOWSO,HOWSO,5,18,"[0, 2, 3, 4]","[[0, ""H""], [2, ""W""], [3, ""S""], [4, ""O""]]",H_WSO,howso,HOWSO,1,0,0,1
2025-11-05T23:03:47Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,7/31/2018_DABS,Little amounts of cream,DABS,DABS,4,23,"[0, 1, 3]","[[0, ""D""], [1, ""A""], [3, ""S""]]",DA_S,dabs,DABS,1,0,0,1
2025-11-05T23:03:50Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/20/2020_ITALIAN,Popular salad dressing,ITALIAN,ITALIAN,7,22,"[0, 1, 2, 6]","[[0, ""I""], [1, ""T""], [2, ""A""], [6, ""N""]]",ITA___N,italian,ITALIAN,1,0,0,3
2025-11-05T23:03:55Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,1/30/2021_CROW,"Say ""Ta-da!,"" say",CROW,CROW,4,17,[],[],____,,,0,0,0,0
2025-11-05T23:04:02Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,2/13/2016_WINSAT,Beats someone in,WINSAT,WINSAT,6,16,"[2, 4]","[[2, ""N""], [4, ""A""]]",__N_A_,winsat,WINSAT,1,0,0,4
2025-11-05T23:04:06Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,5/15/2020_ECLAIRS,Desserts made with pate a choux,ECLAIRS,ECLAIRS,7,31,"[2, 3, 4, 5, 6]","[[2, ""L""], [3, ""A""], [4, ""I""], [5, ""R""], [6, ""S""]]",__LAIRS,eclairs,ECLAIRS,1,0,0,2
2025-11-05T23:04:11Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/24/2020_TRALEE,"Historic destination in County Kerry, Ireland",TRALEE,TRALEE,6,45,"[3, 4, 5]","[[3, ""L""], [4, ""E""], [5, ""E""]]",___LEE,,,0,0,0,0
2025-11-05T23:04:15Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,11/23/2016_SHADY,Suspicious,SHADY,SHADY,5,10,"[0, 2, 4]","[[0, ""S""], [2, ""A""], [4, ""Y""]]",S_A_Y,shady,SHADY,1,0,0,2
2025-11-05T23:04:25Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,10/9/2016_ALERO,Old Olds,ALERO,ALERO,5,8,"[0, 1]","[[0, ""A""], [1, ""L""]]",AL___,,,0,0,0,0
2025-11-05T23:04:28Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/8/2019_OPT,Not dither,OPT,OPT,3,10,[1],"[[1, ""P""]]",_P_,spy,SPY,0,0,0,0
2025-11-05T23:04:36Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,4/30/2017_SINGED,Burned a bit,SINGED,SINGED,6,12,[0],"[[0, ""S""]]",S_____,seared,SEARED,0,0,0,2
2025-11-05T23:04:44Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,8/17/2017_TWYLA,Tharp of dance,TWYLA,TWYLA,5,14,"[1, 3]","[[1, ""W""], [3, ""L""]]",_W_L_,,,0,0,0,0
2025-11-05T23:04:53Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,6/30/2016_FLEA,One having a small bite?,FLEA,FLEA,4,24,[1],"[[1, ""L""]]",_L__,,,0,0,0,0
2025-11-05T23:04:57Z,9ecd2a9b-eed9-4a8c-9a7f-999004c3fe83,2/1/2018_AGEE,James with a posthumous Pulitzer,AGEE,AGEE,4,32,[],[],____,Agee,AGEE,1,0,0,4
